name,latitude,longitude,X,Y,height,description
SGA P 130-13-1,6.675141,-1.572226,692373.0479,727618.645,261.508,OPPOSITE THE KNUST MAIN LIBRARY
SGA P 13-3,6.6786,-1.570923,692846.7717,728873.0052,252.354,UNITY HALL ROUNDABOUT
A1,6.686684,-1.570961,692836.3615,731805.4298,263.989,Otumfo Osei Tutu II Boulevard
A2,6.686681,-1.571047,692805.5184,731804.3668,263.755,Otumfo Osei Tutu II Boulevard
A3,6.68668,-1.571194,692751.916,731803.8255,263.361,Otumfo Osei Tutu II Boulevard
CCB 3,6.676805,-1.565222,694913.7106,728219.4882,266.148,CCB Canteen
CCB 4,6.684876,-1.570537,692989.6161,731149.2224,255.617,KNUST Main Gate RoundAbout
CCB 5,6.684966,-1.570539,692988.8353,731182.0833,255.628,KNUST Main Gate RoundAbout
ED 4-09-13,6.678571,-1.571161,692760.4331,728862.4442,254.549,Near Unity RoundAbout
ENG 1,6.67401,-1.565342,694869.3179,727205.4291,0,Behind Pharmacy library
ENG 2,6.673801,-1.565457,694827.2851,727129.687,0,Behind Animal Husbandary
ENG 3,6.673603,-1.565398,694848.6289,727057.9849,0,Between Vodafone and Soil and Rock Lab
ENG 4,6.673551,-1.565206,694918.351,727038.8471,0,Between Wascal building and Kumapley 
ENG 5,6.673722,-1.565177,694929.041,727101.02,262.784,Infront of Kumapley
ENG 6,6.673865,-1.565059,694971.7851,727152.6699,0,Beside Petroleum Building
ENG 7,6.674012,-1.565179,694928.31,727206.1421,0,Behind Engineering LT
GE 1-78-134,6.674465,-1.573762,691815.6398,727374.1831,268.29,Near Great Hall
GE CP 14-1,6.669061,-1.567464,694097.4869,725411.1745,253.431,New KSB Auditorium
GE CP 14-2,6.669065,-1.567972,693913.2644,725412.7789,251.066,Infront of KSB Auditorium
GE NR 02/16-1,6.675817,-1.563933,695381.0958,727860.4528,269.087,Natsu Near Car Park
GE NR 02/16-2,6.676515,-1.564046,695340.2592,728113.4613,267.747,Natsu Near LT
GE7 1-05-16,6.67329,-1.565301,694883.9009,726944.2257,258.488,Art Car Park
GED ART 2016-1,6.668944,-1.56568,694744.5965,725368.0217,260.961,Art Car Park
GED ART 2016-2,6.668949,-1.565148,694937.5755,725369.3898,260.509,Art Car Park
KNUST GE,6.683589,-1.573865,691781.8996,730683.7697,269.744,Union Oil Junction
KNUST GE 10-15-10,6.674094,-1.570873,692863.2644,727238.1759,248.555,At Administration Park 2
